Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Afghanistan,1980,12486631,3641723322,17.52177991,0.061338085,0.551315695,0.346197388,0.183140347,0.312252036,0.219417622,0.332621494,,9.987058957,0.030131839,1.102998934,0.000162702,0.000203976,,0.002952143,1.868828611,0,2.410201718,0.00501111,0.00191457,0.000666828,0.000497691,0.013099126,0.003370278,0.08839876
Afghanistan,1981,11155195,3478787909,17.61438835,0.047299993,0.636429936,0.333710827,0.266921112,0.364792637,0.216545079,0.394093255,,9.911269563,0.030020453,1.066509522,0.00024722,0.000238477,,0.003712478,1.846699636,0,2.376645504,0.005147263,0.001853339,0.00090735,0.000582592,0.014714958,0.004600198,0.09144696
Afghanistan,1982,10088289,,17.55756614,0.062804752,0.716845711,0.321210699,0.227613893,0.362856858,0.222492485,0.395636249,,9.816271104,0.029597403,1.036441833,0.000173119,0.00023891,,0.004101026,1.809220583,0,2.430443434,0.005167817,0.001766718,0.000813556,0.00058079,0.014450642,0.004343342,0.094495217
Afghanistan,1983,9951449,,17.49282266,0.060395229,1.068910619,0.333721244,0.242330906,0.508965395,0.239331127,0.547892668,,9.191819457,0.030224949,1.084187067,0.000211187,0.0003359,,0.005751831,1.762757672,0,2.285798279,0.005905983,0.001783982,0.000863473,0.000813986,0.017363978,0.005914254,0.097543474
Afghanistan,1984,10243686,,16.43593559,0.087004749,1.290146996,0.358759663,0.261445522,0.461299406,0.226687989,0.539185841,,8.007457021,0.029464466,1.14866306,0.000253684,0.000319055,,0.005458404,1.718853429,0,2.167585165,0.005514978,0.001848656,0.000955317,0.000752917,0.017478311,0.006209291,0.100591673
Afghanistan,1985,10512221,,16.36949694,0.087738082,1.654518239,0.376708026,0.424553042,0.64494104,0.24093477,0.693785995,,7.114041219,0.034494905,1.267972751,0.001100672,0.00046351,,0.005669754,1.687156787,0,1.988980403,0.006780218,0.001920695,0.001608869,0.001070214,0.021455238,0.00996258,0.10363993
Afghanistan,1986,10448442,,14.64739149,0.081347606,1.582695609,0.376791747,0.435867144,0.677209787,0.208640284,0.578883454,,5.899810729,0.033943447,1.276935131,0.001140909,0.000470338,,0.005018985,1.665843501,0,1.67231541,0.009572872,0.001898994,0.001663226,0.00110657,0.020561778,0.008985842,0.106688129
Afghanistan,1987,10322758,,14.23515675,0.08868094,0.839612686,0.255955624,0.461890542,0.742393242,0.206364076,0.677747156,,6.395580869,0.032892956,0.899624024,0.001206458,0.000521689,,0.006120641,1.65948427,0,1.812463507,0.009360207,0.001462939,0.001760256,0.001221022,0.020915195,0.010162062,0.109736386
Afghanistan,1988,10383460,,14.39958716,0.079566653,0.886490316,0.213993217,0.38773358,0.686658123,0.187596397,0.645771939,,6.779592614,0.032643461,0.777597274,0.000996387,0.000482299,,0.005938796,1.671836,0,1.887306518,0.009405924,0.001323882,0.001458542,0.001128043,0.020040529,0.009242082,0.112784583
Afghanistan,1989,10673168,,13.67069846,0.079776177,0.999335649,0.047127317,0.345791196,0.612144213,0.201944713,0.609820458,,6.655789379,0.033658325,0.341960811,0.00089293,0.000413898,,0.005975875,1.702837812,0,1.877814666,0.009511595,0.000733228,0.00130703,0.000989061,0.01841496,0.00862631,0.115832855
